암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ4MiQ0NjEwMDIjNTEjJDEjJDYjJDgz,365경대연합내과의원,의원,대구광역시,수성구,"대구광역시 수성구 들안로 274, 2,6층 (수성동3가)",내과,2022-04-26
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkNDgxOTYxIzUxIyQxIyQxIyQ5OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,365경북대야간약국,약국,대구광역시,북구,"대구광역시 북구 대학로 79, 1층 (산격동)",해당사항없음,2025-07-21
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzIxIyQxIyQ1IyQ4MiQ0NjE0ODEjNTEjJDEjJDIjJDgz,365경희길음한의원,한의원,서울특별시,성북구,"서울특별시 성북구 길음로9길 50, 상가동 1층 212호 (길음동, 길음뉴타운)",한방,2020-11-26
JDQ4MTYyMiM4MSMkMSMkNCMkMTMkNDgxMzUxIzUxIyQxIyQ1IyQ3OSQzNjEyMjIjNzEjJDEjJDgjJDgz,365경희더본한의원,한의원,경상남도,거제시,"경상남도 거제시 서문로 63, 이현빌딩 3층 (고현동)",한방,2025-03-31
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQxIyQ4OSQzNjE0ODEjNjEjJDEjJDAjJDgz,365경희동방한의원,한의원,경기도,성남시 수정구,"경기도 성남시 수정구 제일로 159, 3층 (수진동)",한방,2025-03-31
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzMxIyQxIyQzIyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,365경희바른한의원,한의원,경기도,시흥시,"경기도 시흥시 배곧1로 27-16, 상가2동 2층 203호~204호 (배곧동, 한라비발디캠퍼스2차)",한방,2018-05-10
JDU4MTI3MSM1MSMkMSMkNCMkMTMkMzgxNzAyIzExIyQxIyQzIyQ3MiQyNjE0ODEjNTEjJDEjJDIjJDgz,365경희밝은본한의원,한의원,경기도,용인시 기흥구,"경기도 용인시 기흥구 죽전로 52, 훼미리프라자 107,108호 (보정동)",한방,2025-09-30
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxOTYxIzMxIyQxIyQzIyQ3OSQzNjE0ODEjNjEjJDEjJDgjJDgz,365경희밝은한의원,한의원,대전광역시,서구,"대전광역시 서구 탄방로 68, 정인빌딩 2층 (탄방동)",한방,2025-09-16
JDQ4MTYyMiM4MSMkMSMkOCMkMTMkMzgxNzAyIzIxIyQxIyQxIyQwMyQ0NjE0ODEjNjEjJDEjJDQjJDgz,365경희부부한의원,한의원,제주특별자치도,제주시,"제주특별자치도 제주시 일주동로 187, 2층 (화북일동)",한방,2021-09-30
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQ5MiQ0NjEwMDIjNTEjJDEjJDYjJDgz,365경희사계한의원,한의원,경기도,양주시,"경기도 양주시 옥정로 208, 선양프라자 301호, 302호, 303호 (옥정동)",한방,2023-05-19
